INSCRIÇÃO;CÓDCURSO;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
1719041;9;A;B;B;E;D;B;D;D;B;A;C;D;A;E;D;D;D;A;A;E;D;B;A;D;B;B;C;A;C;C;D;D;D;A;C;D;A;C;B;C;D;C;;C;B;C;C;C;D;E;B;D;C;E;C;A;D;D;E;E;E;E;B;D;B;D;C;B;B;B;C;D;D;C;C;B;D;C;C;E;C;B;D;D;D;A;C;A;;
1719041;9;C;D;A;D;D;D;D;E;C;B;D;D;E;D;D;D;C;A;B;D;E;E;B;D;B;D;D;C;B;E;A;C;C;A;E;D;D;D;A;C;E;D;;C;D;A;D;B;E;E;E;A;B;E;C;D;D;A;E;B;D;D;E;B;D;D;C;B;B;E;D;D;C;D;D;C;E;D;C;C;E;D;C;C;D;A;C;A;;
1719040;9;A;D;B;B;B;E;B;D;D;D;D;B;B;D;D;A;B;E;B;E;A;D;C;D;B;C;B;E;;;D;A;B;C;D;E;A;B;C;B;C;D;C;D;D;;;;;;;;;;B;;;C;D;E;D;;A;B;D;A;B;D;C;;B;;C;D;E;;B;;;;E;A;B;B;C;;D;E;B;A
1719039;9;D;;B;A;B;A;C;D;D;B;C;D;D;D;C;A;E;E;A;E;E;C;B;B;B;B;E;E;B;D;E;A;C;E;D;C;A;C;A;E;D;C;;E;E;B;D;D;C;A;B;D;C;E;B;E;B;A;C;B;D;E;C;A;B;C;B;C;E;A;B;D;B;B;E;A;B;C;A;C;B;C;A;C;C;D;B;A;A;A
1719038;9;A;B;D;B;D;C;D;D;E;E;C;D;C;A;D;A;D;D;D;E;D;E;E;D;B;A;D;D;C;A;C;B;C;C;C;B;A;D;A;A;D;B;A;E;E;B;E;C;D;D;A;D;C;B;B;C;D;A;E;E;A;C;C;D;B;C;E;B;C;B;D;C;C;D;A;C;D;B;E;D;C;C;C;D;C;A;A;E;A;A
1719037;9;A;D;C;A;D;B;A;E;B;D;C;D;A;C;C;A;B;C;B;A;D;C;B;D;B;A;D;A;C;A;B;D;C;D;C;C;A;E;B;A;D;C;;C;A;B;D;C;B;D;B;A;C;B;C;A;B;A;B;E;D;A;;D;C;E;C;E;A;A;D;E;C;B;B;A;C;B;A;C;C;A;E;E;E;E;E;C;A;A
1719036;9;E;D;D;C;A;E;A;C;E;B;B;B;C;C;D;E;E;E;C;E;B;A;B;D;A;C;B;B;C;C;C;A;D;B;D;B;A;A;D;D;D;E;C;C;E;B;C;C;C;B;A;B;C;C;C;C;A;C;E;E;D;E;C;B;B;B;D;C;C;A;B;D;C;E;D;C;B;C;A;C;E;A;A;C;A;A;;;;
1719032;9;A;C;B;D;D;C;A;E;A;E;B;D;D;B;C;A;D;E;C;E;E;C;E;D;C;C;D;D;D;A;A;A;C;D;D;C;D;C;C;E;E;B;E;D;C;A;A;C;E;C;B;A;A;D;C;D;D;A;E;A;D;B;B;D;A;C;C;E;C;A;D;D;D;C;E;D;B;B;A;D;E;C;A;C;C;D;B;A;A;A
1719030;9;D;;B;C;C;D;A;D;C;D;C;C;D;B;D;B;B;C;A;E;B;D;A;A;A;C;B;E;C;C;D;C;D;B;A;C;D;B;D;B;D;E;B;B;E;A;D;C;B;D;E;B;B;B;B;B;A;B;C;C;D;D;C;A;B;D;C;D;C;B;C;E;D;D;C;C;B;D;A;B;A;D;C;C;B;C;B;C;D;D
1719029;9;E;C;D;A;D;C;A;A;B;B;A;D;A;D;E;A;B;D;A;E;C;D;B;A;C;B;D;B;D;B;B;A;C;A;C;B;A;E;E;C;A;D;B;A;E;D;E;C;C;D;A;C;C;B;A;A;C;A;E;E;D;A;A;E;B;C;D;E;C;A;D;C;B;C;C;C;E;D;A;B;E;A;A;D;B;A;A;B;A;A
1719028;9;E;;E;D;C;E;D;C;D;A;D;D;C;D;A;D;C;C;D;A;D;E;D;A;C;D;C;C;C;C;A;B;D;D;D;D;A;B;A;C;C;D;B;B;D;A;D;B;A;D;B;C;C;B;B;B;A;E;C;C;D;A;A;B;B;D;D;D;D;D;D;B;A;A;D;B;C;C;C;C;C;A;E;E;E;E;E;C;A;A
1719027;9;C;B;B;C;D;C;D;B;B;C;A;D;D;C;C;B;C;C;C;E;B;D;A;C;B;C;C;C;A;C;C;C;C;B;B;E;B;A;C;C;B;B;B;B;E;A;C;C;C;D;A;A;B;D;C;D;B;C;A;D;D;C;D;B;B;D;B;B;B;C;A;D;C;C;E;C;B;B;D;C;C;D;C;C;A;C;B;B;A;A
1719025;9;A;C;C;D;D;E;B;A;C;B;A;B;C;C;E;B;D;A;C;E;A;A;E;D;B;C;B;A;B;A;A;D;B;A;E;C;C;A;B;B;D;D;B;B;D;E;D;D;C;D;B;B;C;D;C;A;A;D;D;D;D;E;A;C;A;D;C;C;B;A;A;D;E;C;B;C;B;C;C;A;E;D;A;B;A;;;;;
1719024;9;C;D;B;E;A;A;B;A;E;B;A;D;D;C;D;B;C;A;D;E;C;D;A;D;E;A;A;D;B;E;A;D;D;C;B;D;A;E;A;C;B;C;;E;D;A;E;C;E;E;B;A;B;B;C;A;A;D;C;D;E;E;B;A;B;A;C;A;C;C;C;D;E;C;B;D;A;E;D;D;C;C;E;C;B;D;E;A;A;A
1719023;9;A;C;A;A;C;B;A;D;D;A;E;D;A;B;C;A;C;D;D;E;C;C;E;D;A;A;D;E;C;D;B;A;D;C;D;C;C;D;A;C;E;C;;D;D;E;D;C;D;D;C;A;C;B;A;A;B;D;E;C;D;E;B;B;B;C;C;D;C;C;A;D;D;D;D;D;E;E;A;B;E;A;A;D;C;D;B;A;A;A
1719022;9;A;C;D;D;D;B;B;E;C;B;D;D;A;C;E;B;D;C;B;E;D;B;B;D;B;A;D;C;C;B;E;C;C;A;B;D;B;E;E;A;D;A;C;D;B;E;B;D;B;C;A;E;C;B;B;D;A;A;A;C;D;E;B;B;B;D;C;A;C;A;D;D;E;B;B;E;E;C;C;C;E;D;A;A;A;D;B;A;A;A
1719021;9;C;B;C;D;D;B;B;C;D;C;B;D;A;D;D;A;E;A;E;D;C;E;D;A;D;C;A;B;C;C;B;B;D;C;B;B;D;B;B;B;C;E;;C;E;A;D;C;B;E;A;A;A;B;E;C;A;B;A;D;D;D;A;A;B;E;C;B;C;A;A;D;A;A;C;C;C;B;E;D;E;D;D;A;C;B;A;A;A;A
1719020;9;A;D;B;C;C;B;A;A;D;A;A;D;C;B;C;A;E;C;D;E;D;E;D;C;D;C;C;B;D;A;D;A;C;C;D;C;A;D;E;C;B;D;;C;E;A;E;C;A;E;E;B;A;C;B;C;E;B;A;A;D;E;E;A;B;C;D;D;B;B;A;D;C;C;B;B;C;D;A;E;D;E;A;B;D;D;E;D;A;A
1719018;9;A;B;C;C;D;C;D;D;D;E;B;D;C;B;D;A;A;C;D;E;D;D;E;D;B;A;E;D;D;A;B;D;C;C;E;C;C;A;C;C;A;A;C;A;D;E;D;C;B;E;B;A;D;B;C;C;A;A;A;D;D;E;C;D;B;C;C;E;C;A;A;D;D;C;D;C;A;D;A;C;A;D;A;A;E;A;A;;;
1719017;9;A;C;C;C;B;B;C;B;C;B;C;D;B;B;E;A;B;A;C;B;A;B;E;D;A;E;D;A;B;A;B;B;C;C;D;A;A;B;A;B;C;B;;B;E;A;C;C;D;D;B;A;C;B;B;B;A;A;E;E;D;D;D;B;A;D;C;B;C;A;A;D;B;D;E;C;A;C;A;B;E;D;A;D;E;E;D;B;B;D
1719016;9;A;E;A;A;D;A;D;A;C;B;E;D;A;B;D;A;B;D;B;E;D;A;B;D;C;A;E;C;C;A;B;B;C;C;C;C;A;D;C;E;A;B;B;D;D;E;A;B;D;B;B;A;C;E;D;B;A;E;A;E;D;A;D;E;A;A;C;A;A;A;A;D;A;D;E;D;C;A;C;D;E;C;E;C;A;A;;;;
1719015;9;B;C;D;C;D;B;A;E;C;D;C;D;B;A;D;B;C;D;B;E;D;A;C;D;A;A;E;D;A;A;C;D;C;B;C;C;E;A;C;C;D;B;;B;E;B;D;C;E;E;E;A;A;B;D;C;D;E;A;B;D;E;A;D;E;C;C;D;D;A;A;C;B;D;B;B;E;E;C;B;D;E;A;C;A;A;A;B;A;A
1719013;9;A;C;D;C;D;B;D;D;D;A;E;D;C;B;D;A;A;B;D;E;D;E;E;D;C;A;E;D;D;A;B;D;C;C;C;C;C;D;E;B;D;A;B;C;D;B;B;C;B;E;B;D;D;B;C;D;A;B;A;B;D;A;A;D;B;D;C;D;D;D;D;D;D;C;B;D;D;D;D;D;D;D;A;A;E;A;A;;;
1719012;9;B;;D;D;C;A;D;D;B;B;A;D;D;C;A;A;B;E;B;A;D;C;E;D;B;C;C;E;B;A;D;A;C;D;C;B;D;A;E;C;A;E;;D;E;B;D;B;B;D;A;D;C;B;A;A;A;B;D;E;E;E;B;C;B;D;C;A;C;A;B;D;E;C;A;D;B;C;D;A;C;E;D;A;B;C;D;E;A;A
1719011;9;A;E;A;A;D;A;D;A;C;B;E;D;A;B;D;A;B;D;B;E;D;A;B;D;C;A;E;C;C;A;B;B;C;C;C;C;A;D;C;E;A;B;B;D;D;E;A;B;D;B;B;A;C;E;D;B;A;E;A;E;D;A;D;E;A;A;C;A;A;A;A;D;A;D;E;D;C;A;C;D;E;C;E;C;A;A;;;;
1719010;9;C;C;E;B;E;D;A;D;E;B;E;B;C;B;A;A;B;D;D;E;C;E;;D;C;A;C;C;D;A;B;D;C;B;C;A;C;E;B;C;A;D;;E;B;A;C;E;B;C;A;A;D;B;C;E;B;A;D;E;C;B;A;D;E;C;D;B;A;D;B;C;D;E;A;B;C;A;E;C;D;B;D;D;B;E;C;A;;
1719006;9;B;D;A;A;D;E;C;C;B;C;B;D;D;A;C;E;B;E;D;E;D;D;B;D;C;E;D;A;D;B;A;E;B;A;E;B;A;C;A;E;D;E;;A;D;A;D;B;E;D;B;A;B;B;D;A;A;B;E;A;D;A;A;D;A;D;D;D;B;A;A;D;A;E;A;C;A;C;A;C;E;D;A;A;E;A;B;A;A;A
1719005;9;A;E;A;A;D;A;D;A;C;B;E;D;A;B;D;A;B;D;B;E;D;A;B;D;C;A;E;C;C;A;B;B;C;C;C;C;A;D;C;E;A;B;B;D;D;E;A;B;D;B;B;A;C;E;D;B;A;E;A;E;D;A;D;E;A;A;C;A;A;A;A;D;A;D;E;D;C;A;C;D;E;C;E;C;A;A;;;;
1719004;9;A;C;D;E;D;E;C;D;C;D;D;D;C;B;D;A;A;C;D;E;B;C;E;D;C;A;D;D;C;A;B;D;C;C;C;C;C;A;C;D;D;E;;D;D;A;D;C;E;D;B;A;E;B;C;E;A;A;C;B;C;A;A;C;C;D;D;C;C;E;A;D;A;A;B;B;A;B;A;E;B;D;A;C;C;B;A;A;B;A
1719003;9;C;C;D;C;C;B;D;D;A;B;D;C;C;B;C;B;B;A;B;E;C;A;E;C;C;D;B;E;D;D;A;A;D;D;D;B;E;A;A;C;C;E;;C;B;B;E;C;E;C;E;D;D;C;D;A;C;C;A;C;D;B;A;D;A;D;D;B;C;A;E;C;B;B;D;C;C;C;C;D;A;B;A;A;E;A;A;;;
1719002;9;B;B;C;A;C;A;D;B;D;D;B;D;A;A;A;B;C;C;D;E;A;C;A;D;E;D;E;B;C;D;A;A;A;D;A;A;C;B;D;B;B;B;;E;E;E;D;C;D;D;A;B;D;E;D;B;A;B;B;E;D;D;B;E;B;C;C;A;B;B;A;D;D;D;A;D;D;A;C;B;B;D;A;B;B;C;A;C;A;A
1718015;8;A;C;E;C;D;E;B;D;D;D;D;D;;B;A;A;A;C;D;E;B;A;C;E;D;B;E;D;E;B;A;B;E;D;B;C;C;A;C;A;D;A;E;B;E;A;D;C;E;E;B;A;C;D;B;C;C;A;C;B;D;E;B;D;D;D;C;E;A;A;A;E;B;E;B;E;C;B;A;D;B;D;C;D;E;A;A;C;B;C
1718013;8;A;C;D;C;D;E;B;D;D;A;D;D;C;B;D;A;A;D;B;E;B;A;C;B;B;C;D;A;D;A;D;D;C;C;A;E;A;D;C;B;D;A;D;A;E;A;D;C;E;E;B;A;A;B;C;B;C;C;A;B;D;D;B;B;C;C;C;E;C;A;A;D;B;D;B;E;A;D;A;C;B;D;A;A;D;A;B;E;D;E
1718008;8;A;C;B;C;D;A;D;E;D;B;D;D;A;B;D;A;A;C;B;E;D;E;B;D;A;B;E;D;D;A;B;A;C;C;E;E;E;B;;A;C;A;E;B;C;A;B;C;A;D;B;A;E;B;D;A;A;A;C;B;D;A;B;D;C;D;C;E;A;A;A;D;B;A;B;E;C;E;A;D;B;D;C;A;D;C;C;D;B;D
1718006;8;A;C;C;C;D;A;E;C;D;E;B;D;A;B;D;A;B;C;B;E;E;C;B;D;B;C;D;E;D;B;B;D;C;C;A;C;A;B;C;C;D;A;B;C;C;A;D;D;E;D;B;D;C;E;C;C;A;A;A;B;E;A;B;B;C;C;C;C;E;B;A;D;C;C;E;D;A;B;A;B;E;A;A;C;E;A;A;C;E;D
1718005;8;A;B;B;C;D;C;B;D;E;E;D;D;C;B;C;A;B;B;D;E;B;B;B;D;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;D;C;E;D;B;A;C;B;;;B;A;C;B;D;E;C;D;D;B;C;E;C;B;A;D;B;C;A;E;C;A;A;A;C;D;D;B;E;E;A;E;C;D
1718003;8;A;B;B;C;D;E;D;D;D;B;B;D;C;B;D;B;C;C;D;E;A;D;E;A;C;A;C;D;C;A;A;D;C;C;D;C;D;A;A;B;D;E;D;A;C;A;E;C;D;D;B;B;C;B;B;A;B;A;C;E;D;E;C;B;E;A;D;C;A;A;A;B;B;D;E;C;E;D;A;C;B;D;A;E;E;A;C;B;D;C
1718001;8;B;A;C;D;D;A;A;D;D;B;E;D;A;B;D;B;C;C;B;E;D;D;E;A;B;A;D;D;C;B;B;B;C;C;C;C;D;B;A;C;B;E;D;E;C;A;D;C;C;B;B;D;C;B;C;C;C;D;C;C;D;A;B;A;C;D;C;E;A;A;C;E;C;C;C;C;A;C;A;E;B;A;A;A;E;A;A;D;E;C
1717060;7;B;D;E;D;E;E;B;A;B;E;C;D;A;C;E;A;D;D;D;E;B;D;C;D;A;D;C;D;C;B;D;A;D;C;E;E;C;B;D;C;A;D;A;A;E;E;B;B;E;B;A;D;B;B;B;A;D;D;B;D;D;C;A;B;B;A;D;B;B;A;E;D;B;D;B;C;B;C;B;A;E;D;D;D;C;A;C;C;B;D
1717059;7;D;A;C;B;C;E;B;E;B;D;D;B;C;C;B;A;C;A;C;B;B;D;B;D;A;C;D;E;C;D;D;E;B;B;C;C;A;D;C;C;D;B;;E;B;B;D;A;E;C;C;B;E;B;B;A;E;C;D;C;D;E;B;C;B;C;D;B;B;E;D;C;B;D;D;C;B;C;A;B;E;C;A;C;C;D;C;E;A;E
1717057;7;A;B;B;C;D;D;E;D;A;B;E;D;C;E;C;B;C;E;C;E;A;C;E;D;A;B;E;B;C;C;A;A;B;C;D;E;D;C;B;B;D;;A;B;D;A;D;C;D;E;B;C;D;B;C;D;E;E;D;C;E;A;B;E;D;D;C;D;C;A;A;D;E;C;C;E;A;D;A;C;B;D;A;D;A;A;B|E;D;D;E
1717052;7;B;D;D;E;A;C;A;D;C;E;B;D;A;E;C;B;D;C;D;E;A;B;E;C;B;D;A;E;B|C;B;B;A;B;D;E;C;A;D;B;E;C;E;A;A;D;E;D;B;A;E;B;B;B;B;D;A;B;A;A;E;D;A;D;C;D;C;C;B;C;A;A;E;B;E;B;B;E;C;A;A;D;D;A;B;C;A;D;E;A;E
1717046;7;C;B;B;C;C;C;B;E;D;D;A;D;C;C;A;A;B;E;D;E;B;B;E;D;D;A;D;E;E;C;D;D;C;C;E;C;C;A;A;E;E;C;C;A;D;E;D;C;E;D;B;D;D;B;C;D;A;A;B;A;D;D;B;E;B;C;C;B;B;B;B;E;D;A;B;E;B;C;C;D;A;C;A;D;D;E;B;D;E;E
1717045;7;B;E;B;D;E;B;C;A;D;B;D;D;E;C;D;D;C;D;C;E;B;C;C;D;C;C;E;C;C;B;A;D;C;C;B;D;B;A;C;A;D;D;B;B;D;A;D;D;C;E;C;D;C;B;B;B;D;B;A;D;D;E;B;B;C;C;C;C;B;A;A;D;C;;A;C;C;C;A;B;E;D;A;B;C;D;B;C;C;E
1717044;7;E;D;D;C;D;D;C;A;B|E;;A;B;E;E;E;C;D;D;A;D;C;D;B;E;A;C;E;B;B;C;E;B;D;B;D;D;C;A;D;C;D;D;B;A;B;A;D;B;E;C;C;B;D;A;D;B;A;D;A;E;E;A;C;D;C;C;C;C;B;A;D;E;B;C;A;E;A;D;A;B;D;C;A;C;B;A;D;B;D;E
1717041;7;B;C;A;A;A;A;E;E;B;D;C;A;E;B;C;C;E;B;D;E;E;C;C;B;C;D;;C;E;B;D;A;E;C;B;C;E;D;D;C;A;D;E;D;B;D;D;A;D;B;A;C;C;E;B;B;B;B;B;E;D;E;E;C;B;D;C;A;C;B;D;C;B;C;E;A;B;C;B;A;E;D;D;D;C;A;C;C;B;D
1717038;7;B;E;A;C;E;E;D;C;B;C;B;D;A;D;E;B;D;A;A;B;;;;;;;;;;;;;;;;;;;;;;;;;;A;D;C;E;E;C;A;B;E;D;D;C;A;C;E;E;A;A;E;B;D;C;E;C;B;E;D;B;A;B;D;B;D;A;D;E;D;D;A;D;D;A;A;D;D
1717037;7;A;B;B;D;C;B;A;B;B;C;A;B;A;D;D;C;C;B;C;A;A;;D;D;A;D;D;C;B;C;E;C;D;B;A;A;C;C;D;E;C;D;E;C;C;C;B;D;C;E;B;D;E;B;C;E;C;C;C;C;E;A;A;A;E;C;D;C;D;E;A;C;C;E;A;D;B;D;A;D;D;C;B;D;D;C;D;D;A;D
1717035;7;C;C;D;D;C;D;D;B;B;A;C;B;C;D;C;D;D;D;D;A;B;D;D;D;C;D;D;D;C;D;E;E;D;D;E;D;D;E;D;D;D;E;D;E;E;B;D;C;C;E;B;A;C;B;C;A;B;C;B;D;D;A;B;D;A;A;D;C;D;A;E;B;B;A;A;D;B;D;A;D;D;A;A;C;D;A;A;A;E;C
1717034;7;B;C;A;E;A;B;D;A;E;E;C;D;A;B;D;E;A;B;A;C;C;D;B;D;C;B;E;B;A;B;B;C;D;E;E;C;A;C;D;E;D;A;B|D;B;E;E;C;B;A;D;B;A;A;B;E;E;D;C;A;A;D;E;E;B;C;B;E;A;B;D;E;D;A;C;B;B;C;A;C;A;A;D;A;B;C;D;A;D;C;E
1717033;7;B;C;B;D;D;E;A;A;B;D;B;D;C;E;C;A;B;D;C;A;A;E;D;C;B;C;A;C;B;D;E;E;C;A;B;C;B;D;B;D;A;A;E;B;C;A;A;C;E;B;B;E;C;B;A;;B;A;E;C;E;E;C;B;C;D;C;E;C;C;A;E;;C;E;E;B;;A;;E;D;D;C;C;A;C;;A;E
1717032;7;C;A;C;A;D;B;C;D;B;B;B;D;C;E;D;A;C;E;B;A;D;A;E;D;E;B;D;C;C;E;A;A;B;B;E;B;C;A;C;C;B;D;C;B;E;A;D;D;E;C;B;D;B;A;C;E;C;C;E;E;D;A;C;B;B;A;C;A;B;C;D;B;D;A;D;B;B;A;A;E;B;D;D;C;E;A;B;C;B;C
1717031;7;B;D;E;D;D;A;D;C;B;B;A;D;C;C;C;C;D;C;B;E;B;B;E;D;B;D;A;C;D;C;A|E;C;B;D;B;A;B;C;D|E;A;C;E;B;A;E;A;E;B;E;E;B;D;C;E;B;E;A;A;A;B;D;A;B;A;C;C;A;D;C;A;A;C;B;B;B;E;B;E;A;C;A;D;E;E;E;A;C;E;E;E
1717030;7;A;C;B;C;D;E;D;D;D;E;D;D;C;B;D;A;A;B;B;E;B;D;B;D;A;E;D;D;D;B;A;C;D;E;B;B;C;C;D;B;C|D|E;B;C;C;C|E;A;A;C;E;E;B;B;C;B;B;E;E;A;C;B;E;D;A;E;A;A;C;E;A;C;C;D;B;D;E;E;B;B;B;B;B;C;D;A;E;B;C;D;A;E
1717029;7;A;B;B;C;D;D;B;D;C;E;D;D;C;B;D;D;B;C;A;E;B;D;E;D;C;A;D;D;C;C;B;C;C;C;C;C;C;B;E;D;D;E;B;E;D;B;C;C;A;D;C;A;B;B;C;D;C;D;B;A;E;D;D;B;B;D;B;B;B;C;A;D;B;C;C;D;D;B;A;D;B;D;A;C;C;B;D;A;D;D
1717023;7;C;C;C;A;B;D;B;D;B;A;D;C;A;D;B;A;E;E;B;E;D;C;E;D;C;A;E;D;C;E;C;A;C;C;C;D;E;A;A;D;C;E;B;C;A;E;D;C;D;E;B;A;A;B;E;C;B;A;E;B;E;E;C;B;B;D;A;A;C;A;A;D;D;E;B;B;C;E;A;C;D;B;A;A;D;D;A;C;E;B
1717022;7;D;A;A;D;B;D;D;D;C;D;C;B;B;B;D;B;B;A;C;E;A;D;E;D;D;A;D;B;C;E;E;D;D;C;C;E;B;A;A;B;E;D;D;A;D;E;D;A;E;B;B;D;C;A;B;A;A;B;D;E;D;E;E;C;A;C;D;B;E;B;B;D;C;D;C;E;B;A;E;C;C;C;A;A;D;D;B;E;A;C
1717021;7;D;E;E;A;D;E;C;B;D;C;D;D;E;E;D;A;D;D;C;E;C;B;A;D;B;C;E;E;E;B;A;A;D;A;D;C;B;A;C;B;D;E;D;D;B;B;B;C;B;C;B|C;D;B;E;B;E;B;D;B;B;D;E;A;A;A;D;D;D;C;A;B;D;A;D;D;C;E;A;B;E;C;C;A;A;B;D;D;C;E;D
1717020;7;E;A;B;B;C;B;D;C;E;B;D;B;D;D;C;A;B;E;A;B;C;D;D;C;C;E;B;C;D;A;B;D;B;D;C;B;A;D;B;B;D;C;B;C;E;A;C;B;D;D;B;B;B;B;D;B;D;B;C;B;B;A;D;D;B;D;C;A;C;A;B;D;B;E;A;B;E;D;A;B;E;D;A;C;E;D;D;C;E;E
1717019;7;A;E;B;D;B;D;A;E;C;A;D;E;B;C;B;E;A;C;A;E;B;D;D;B;C;A;B;D;A;C;B;D;A;E;A;B;D;B;A;E;C;A;D;E;B;A;D;C;B;E;B;B;C;B;E;A;D;B;D;B;D;A;C;D;A;B;C;A;C;A;A;D;E;C;D;C;D;B;B;D;A;E;C;A;D;B;C;D;C;A
1717018;7;A;B;A;B;D;B;D;A;C;D;B;D;C;D;E;A;B;D;E;B;D;B;B;D;B;E;E;C;D;E;C;D;C;B;D;A;A;D;E;C;D;E;C;D;E;E;C;C;D;D;E;D;D;E;E;E;B;B;E;E;D;A;E;D;B;C;D;E;D;B;E;D;C;B;E;B;D;C;C;B;D;C;B;E;E;B;D;D;C;C
1717017;7;C;C;C;A;D;A;D;A;B;C;C;D;A;D;C;A;C;A;D;E;B;C;E;D;B;B;B;D;C;B;A;E;E;D;C;B;B;B;B;B;B;B;B;B;C;A;D;C;B;E;E;A;A;E;D;B;D;B;E;B;D;A;D;B;B;A;C;A;C;A;E;D;B;A;C;A;D;C;C;C;E;E;D;A;A;A;D;B;A;D
1717016;7;E;D;D;A;D;E;D;B;B;C;E;D;A;C;C;B;C;C;C;A;D;D;C;E;B;C;E;B;C;E;A;C;E;E;D;C;D;B;D;B;B;B;C;C;C;E;A;B;C;B;C;C;D;D;C;D;A;B;E;B;D;A;A;B;B;A;C;D;A;A;B;D;A;D;D;C;C;C;A;A;E;B;A;A;D;B;E;E;D;E
